E/I,S/N,T/F,J/P,Kelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ISTP,Kelas,Tipe Kepribadian,Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,1,ESTP,25,,0.480051277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,2,ISTJ,3,,0.138103356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Rendah,INTJ,3,ISTP,20,,0.440519635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,4,ENTJ,13,,0.357209244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,7,ENTP,5,,0.197849207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,5,ENFP,3,,0.138103356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,14,INTJ,6,,0.223575132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,12,ISFJ,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,13,INTP,8,,0.268974738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,10,INFP,2,,0.102331404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,9,ESTJ,23,,0.465917064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,6,ESFP,3,,0.138103356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,15,INFJ,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Tinggi,INTP,16,ISFP,1,,0.059937632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,11,ESFJ,1,,0.059937632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Tinggi,Tinggi,INFP,8,ENFJ,1,,0.059937632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,Entropy(S),3.130550664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,Jumlah Dataset,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,Atribut,Nilai,Sum(Nilai),Sum(ESTP),Sum(ISTJ),Sum(ISTP),Sum(ENTJ),Sum(ENTP),Sum(ENFP),Sum(INTJ),Sum(ISFJ),Sum(INTP),Sum(INFP),Sum(ESTJ),Sum(ESFP),Sum(INFJ),Sum(ISFP),Sum(ESFJ),Sum(ENFJ),,,,,,,,Entropy,,,,,,,,,Entropy,Gain
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,E/I,Tinggi,40,0,3,19,0,0,0,6,0,8,2,0,0,0,1,0,0,0,0.28027242,0.510150276,0,0,0,0.410544839,0,0.464385619,0.216096405,0,0,0,0.133048202,0,0,2.014497761,
Tinggi,Tinggi,Rendah,Tinggi,INTP,,,,,Rendah,74,25,0,1,13,5,3,0,0,0,0,23,3,0,0,1,1,0.528917965,0,0.083911532,0.440772668,0.262670626,0.187479359,0,0,0,0,0.523993276,0.187479359,0,0,0.083911532,0.083911532,2.38304785,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,S/N,Tinggi,38,0,0,0,13,5,3,6,0,8,2,0,0,0,0,0,1,0,0,0,0.529403719,0.384999923,0.289181448,0.42046816,0,0.473247898,0.223575132,0,0,0,0,0,0.138103356,2.458979637,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,Rendah,76,25,3,20,0,0,0,0,0,0,0,23,3,0,1,1,0,0.527655041,0.184064408,0.506841952,0,0,0,0,0,0,0,0.521847471,0.184064408,0,0.082209573,0.082209573,0,2.088892426,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,T/F,Tinggi,11,0,0,0,0,0,3,0,0,0,2,0,3,0,1,1,1,0,0,0,0,0,0.51121885,0,0,0,0.447169385,0,0.51121885,0,0.314493784,0.314493784,0.314493784,2.413088436,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,Rendah,103,25,3,20,13,5,0,6,0,8,0,23,0,0,0,0,0,0.495787461,0.148588486,0.459140278,0.376881461,0.211872448,0,0.238924545,0,0.286330138,0,0.482986283,0,0,0,0,0,2.700511101,
Tinggi,Tinggi,Rendah,Tinggi,INTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Tinggi,ENTP,,,,J/P,Tinggi,67,25,0,20,0,5,3,0,0,8,2,0,3,0,1,0,0,0.530683955,0,0.520645103,0,0.279415007,0.200647464,0,0,0.366100202,0.151226543,0,0.200647464,0,0.090538645,0,0,2.339904383,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,Rendah,47,0,3,0,13,0,0,6,0,0,0,23,0,0,0,1,1,0,0.253380405,0,0.51284976,0,0,0.379101236,0,0,0,0.504545077,0,0,0,0.118182742,0.118182742,1.886241962,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Tinggi,Tinggi,ESFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Tinggi,INTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Tinggi,INTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Tinggi,ENTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Tinggi,Rendah,ESFJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Tinggi,ENTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Tinggi,Tinggi,ENFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Rendah,ISTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Rendah,INTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Rendah,INTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Rendah,INTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Rendah,ISTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Tinggi,INTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Tinggi,ENTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Tinggi,INTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Tinggi,INTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Tinggi,Tinggi,ENFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Tinggi,Rendah,ENFJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Rendah,INTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Tinggi,Tinggi,ISFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Tinggi,Tinggi,ENFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Tinggi,Tinggi,INFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,ESTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Tinggi,Tinggi,ESFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Rendah,ISTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Rendah,Rendah,INTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Tinggi,ENTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Tinggi,Rendah,Rendah,ENTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Tinggi,ESTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Tinggi,Tinggi,ESFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Rendah,Rendah,Tinggi,ISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinggi,Tinggi,Tinggi,Tinggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,38,11,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendah,Rendah,Rendah,Rendah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,103,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
